FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
86,03-09-2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
87,06-10-2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
88,18-10-2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
89,24-10-2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
90,05-11-2020,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.577366,28.5618571
91,16-11-2020,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
92,21-11-2020,Falcon 9,1440,PO,VAFB SLC 4E,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb554034e7c9,5,6,B1063,-120.610829,34.632093
93,25-11-2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
94,06-12-2020,Falcon 9,2972,ISS,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
95,13-12-2020,Falcon 9,7000,GTO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
96,19-12-2020,Falcon 9,8191,,KSC LC 39A,True RTLS,5,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.6039558,28.6080585
97,08-01-2021,Falcon 9,3500,GTO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
98,20-01-2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,8,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.6039558,28.6080585
99,24-01-2021,Falcon 9,8191,SSO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
100,04-02-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.577366,28.5618571
101,16-02-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,False ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
102,04-03-2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,8,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
103,11-03-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
104,14-03-2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,9,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
105,24-03-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.577366,28.5618571
106,07-04-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.577366,28.5618571
107,23-04-2021,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1061,-80.6039558,28.6080585
108,29-04-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
109,04-05-2021,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,9,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.6039558,28.6080585
110,09-05-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
111,26-05-2021,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,6,B1063,-80.577366,28.5618571
112,03-06-2021,Falcon 9,3328,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1067,-80.6039558,28.6080585
113,06-06-2021,Falcon 9,7000,GTO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.577366,28.5618571
114,17-06-2021,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
115,30-06-2021,Falcon 9,8191,SSO,CCSFS SLC 40,True RTLS,8,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,12,B1060,-80.577366,28.5618571
116,29-08-2021,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,9,B1061,-80.6039558,28.6080585
117,14-09-2021,Falcon 9,15600,PO,VAFB SLC 4E,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-120.610829,34.632093
118,16-09-2021,Falcon 9,8191,LEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.6039558,28.6080585
119,11-11-2021,Falcon 9,12519,ISS,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-80.6039558,28.6080585
120,13-11-2021,Falcon 9,13260,LEO,CCSFS SLC 40,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
121,24-11-2021,Falcon 9,670,TLI,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
122,01-12-2021,Falcon 9,13260,PO,CCSFS SLC 40,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,-80.577366,28.5618571
123,09-12-2021,Falcon 9,330,LEO,KSC LC 39A,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.6039558,28.6080585
124,18-12-2021,Falcon 9,13260,PO,VAFB SLC 4E,True ASDS,11,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-120.610829,34.632093
125,19-12-2021,Falcon 9,3500,GTO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-80.577366,28.5618571
126,21-12-2021,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,1,B1069,-80.6039558,28.6080585
127,06-01-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-80.6039558,28.6080585
128,13-01-2022,Falcon 9,8191,LEO,CCSFS SLC 40,True RTLS,10,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,13,B1058,-80.577366,28.5618571
129,19-01-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,10,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,-80.6039558,28.6080585
130,31-01-2022,Falcon 9,2240,SSO,CCSFS SLC 40,True RTLS,3,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,6,B1052,-80.577366,28.5618571
131,02-02-2022,Falcon 9,8191,LEO,VAFB SLC 4E,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,-120.610829,34.632093
132,03-02-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,9,B1061,-80.6039558,28.6080585
133,21-02-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,11,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,13,B1058,-80.577366,28.5618571
134,25-02-2022,Falcon 9,13260,VLEO,VAFB SLC 4E,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
135,03-03-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,11,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.6039558,28.6080585
136,09-03-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,6,B1052,-80.577366,28.5618571
137,19-03-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,12,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
138,01-04-2022,Falcon 9,8191,SSO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,-80.577366,28.5618571
139,08-04-2022,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-80.6039558,28.6080585
140,17-04-2022,Falcon 9,8191,LEO,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,-120.610829,34.632093
141,21-04-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,12,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
142,27-04-2022,Falcon 9,8191,ISS,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-80.6039558,28.6080585
143,29-04-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,-80.577366,28.5618571
144,06-05-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,12,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,13,B1058,-80.6039558,28.6080585
145,13-05-2022,Falcon 9,13260,VLEO,VAFB SLC 4E,True ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-120.610829,34.632093
146,14-05-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,2,B1073,-80.577366,28.5618571
147,18-05-2022,Falcon 9,13260,VLEO,KSC LC 39A,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,6,B1052,-80.6039558,28.6080585
148,25-05-2022,Falcon 9,8191,SSO,CCSFS SLC 40,True RTLS,8,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,9,B1061,-80.577366,28.5618571
149,08-06-2022,Falcon 9,3938,GEO,Kwajalein Atoll,True ASDS,7,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,8,B1062,167.7431292,9.0477206
150,01-06-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,12,B1060,167.7431292,9.0477206
151,18-06-2022,Falcon 9,2200,SSO,Kwajalein Atoll,True RTLS,3,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,3,B1071,167.7431292,9.0477206
152,19-06-2022,Falcon 9,700,LEO,Kwajalein Atoll,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1061,167.7431292,9.0477206
153,29-06-2022,Falcon 9,3500,MEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,2,B1073,-80.577366,28.5618571
154,07-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
155,11-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.577366,28.5618571
156,15-07-2022,Falcon 9,8191,ISS,VAFB SLC 4E,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,5,B1067,-120.610829,34.632093
157,17-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,13,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1051,-80.577366,28.5618571
158,21-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1071,-80.577366,28.5618571
159,24-07-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,8,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,-80.577366,28.5618571
160,04-08-2022,Falcon 9,678,TLI,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,6,B1052,-80.577366,28.5618571
161,09-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,2,B1073,167.7431292,9.0477206
162,12-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,10,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1061,167.7431292,9.0477206
163,19-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,9,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,8,B1062,167.7431292,9.0477206
164,28-08-2022,Falcon 9,13260,VLEO,Kwajalein Atoll,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecb075134e7cd,5,1,B1069,167.7431292,9.0477206
165,31-08-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,7,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,6,B1063,-80.577366,28.5618571
166,17-09-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,5,B1067,-80.577366,28.5618571
167,24-09-2022,Falcon 9,13260,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,0,B1072,-80.577366,28.5618571
168,05-10-2022,Falcon 9,8191,ISS,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,0,B1077,-120.610829,34.632093
